word,count
b'\xd0\xa1\xca\xc2',1
b'0720',1
b'gatawiselot',1
b'\xd6\xd0\xc8A\xeb\x8a\xd0\xc5',4
b'Hami',24
b'\xcd\xcb\xd7\xe2',2
b'\xd6\xb1\xb2\xa5',33
b'\xd6\xd0',67
b'Lorazin',5
b'\xcc\xa8\xb1\xb1',20
b'\xb8\xdf\xbc\x89',1
b'\x88\xf6\xb5\xc4',6
b'maruEX',17
b'\xc5e\x87\xf8',2
b'\x9ag\x91c',5
b'\xd3\xad\xbd\xd3',8
b'\xb4\xf3\xc1\xa6\xc9\xf1',9
b'\xca\xc7\xb2\xbb\xca\xc7',540
b'\xd7C\xc3\xf7',13
b'\xba\xda\xc8\xcb',28
b'\xb6\xe0',103
b'\xdf\x80\xca\xc7',72
b'\xb1\xc8',158
b'\xdd^',53
b'\xc3\xcd',19
b'41',53
b'\xb8\xf7\xb7N',6
b'\xc4\xc3\xb5\xbd',8
b'\xbct\xc5\xc6',20
b'\xb7\xb4\x91\xaa',16
b'iseedeadman',19
b'Wardyal',6
b'\xd3\xd0\xc8\xcb',130
b'\xb8\xfa',167
b'\xd2\xbb\x98\xd3',44
b'\xdf\x80\xb2\xbb',1
b'\xd6\xaa\xb5\xc0',34
b'\xd4\xbd\xce\xbb',22
b'\xe1\xc8\xc6\xf0',4
b'\xc3\xc0\xc5\xae',10
b'k10055960',1
b'\xbb\xd8\xee\x99',13
b'\xb6\xed\xc1_\xcb\xb9',120
b'\x8cW\xb5\xbd',2
b'14',665
b'\xd6\xd0\x88\xf6',40
b'\xb1\xa3\xc1_\xc4\xe1\x8aW',1
b'\xc8\xeb\xdfx',1
b'75',13
b'\xb2\xbb\x9e\xe9',1
b'\xe5X',24
b'\xb6\xf8\x91\xf0',5
b'\xbd\xfc',7
b'1600',1
b'\xc8f\xca\xc0\xd7\xe3',2
b'\xaa\x84\xbd\xf0',4
b'\xc6\xb1\xdfx',2
b'\xc8\xcb',154
b'\xb9\xab\xb2\xbc',13
b'sister4949',3
b'\xd6\xc2\xbe\xb4',5
b'\xb3\xac\xd0\xc2\xd0\xc7',1
b'\xb9\xab\xc5\xa3',1
b'\xab@',16
b'\xc3\xfc\xc3\xfb',1
b'iriki77',1
b'\xd5l',123
b'\xcf\xb2\x9ag',16
b'\xbf\xb4\xb5\xbd',30
b'PK',93
b'\xd9\x90',74
b'hahabis',1
b'\x9e\xe9\xba\xce',68
b'\xd4\xf6\xbc\xd3',11
b'\x93Q\xc8\xcb',11
b'\xc3\xfb\xee~',9
b'\xcf\xeb\xd2\xaa',3
b'\x83\xba\xd7\xd3',3
b'\xbb\xd8\xc2\xfc\xc2\x93',1
b'\xc4\xb8\xd3H',2
b'\xc4\xc7',26
b'\xd6e\xd4\x92',1
b'GonVolcano',13
b'\xa1\xb1',6
b'\xc0\xfb\xd3\xc3',4
b'\xb2\xc3\xc5\xd0',124
b'\x91\xf0\xd0g',36
b'sfw2579',18
b'\x91\xf0\xcf\xc8',1
b'\xd3\xd0\xc0\xfb',3
b'amy3563867',1
b'\x9e\xe9',430
b'\xca\xb2\xfcN',430
b'\xd2\xd4\xc7\xb0',8
b'\xc7\xf2\xd1\x9d',1
b'\xb6\xcc',2
b'jordanlove',6
b'\xd4\xbd\x81\xed',4
b'\xd4\xbd\xc9\xd9',1
b'overtop2',11
b'peter308',23
b'movierice',51
b'\x91\xaa',8
b'\x8fU\xb3\xfd',22
b'\x9e\xf5\xfd\x88\xc7\xf2',23
b'\xd3\x8b\xb7\xd6',1
b'!',507
b'cjrmt',6
b'\x8aW\xcb\xb9\xbf\xa8\xbc\x89',1
b's910',30
b'leonjapan',70
b'Facebook',2
b'\xbd\x9b\xb5\xe4',4
b'\x95r\xbf\xcc',6
b'\xc3\xfb',10
b'herohiro',3
b'\xbdY\xca\xf8',32
b'\xbf\xd5\xcc\x93\xb8\xd0',2
b'KYALUCARD',2
b'95',6
b'burdette',33
b'2022',33
b'\xd9r\xc2\xca',27
b'\xd3\xd6',60
b'\xbb@\xc7\xf2',9
b'\xb0\xf4\xc7\xf2',12
b'\xcd\xac\x95r',14
b'\xb6\xbc\x8f\x8a',3
b'\x87\xf8\xbc\xd2',28
b'PEA2',1
b'90',17
b'\xc3\xc0\xb9\xa4',173
b'\xb8\xd0\xd6x\xbf\xcb\xc1_\xb0\xa3',1
b'\xce\xf7\x81\x86\xc7\xf2\xea\xa0',1
b'\x8e\xa7\xbdo',2
b'\xdf@',43
b'\xc3\xc0\xba\xc3',4
b'\xd2\xbb\x82\x80',34
b'eric03170427',1
b'jack801016',5
b'\xbco\xc4\xee\xc7\xf2',2
b'\xd9\x8f\xd9I',4
b'\xd1\xc0\xd9I\xbc\xd3',1
b'\xe9W\xeb\x8a',3
b'\xb2\xa8\xcc\xd8',3
